dataset,threshold,k,frac_reads_unresolved,frac_reads_unknown_error,n_windows,frac_windows_fully_resolved,median_window_purity
070723_6D2S_qubit6,10 µs,1.0,0.323032550473836,0.0,0,,
070723_6D2S_qubit6,1 µs,2.0,0.5352286773794809,0.0,10,0.0,0.4621325361235675
070723_6D2S_qubit6,2 µs,2.0,0.949732179645653,0.0,253,0.003952569169960474,0.0
070723_6D2S_qubit6,3 µs,2.0,0.815409971157808,0.0,584,0.0017123287671232876,0.0
070723_6D2S_qubit6,4 µs,2.0,0.6687268232385661,0.0,587,0.0068143100511073255,0.0
070723_6D2S_qubit6,5 µs,2.0,0.5648949320148331,0.0,538,0.007434944237918215,0.0
070723_6D2S_qubit6,6 µs,2.0,0.49114132674083233,0.0,510,0.0058823529411764705,0.0
070723_6D2S_qubit6,7 µs,2.0,0.446229913473424,0.0,485,0.004123711340206186,0.0
070723_6D2S_qubit6,8 µs,2.0,0.4149155335805521,0.0,470,0.002127659574468085,0.0
070723_6D2S_qubit6,9 µs,2.0,0.38813349814585907,0.0,456,0.0021929824561403508,0.0
070723_6D2S_qubit6,10 µs,2.0,0.3724763081994232,0.0,0,,
080623_6D2S_qubit5,1 µs,0.5,0.04412923561859732,0.0,1,0.0,0.9558707643814027
080623_6D2S_qubit5,2 µs,0.5,0.05358550039401103,0.0,1,0.0,0.946414499605989
080623_6D2S_qubit5,3 µs,0.5,0.14105594956658787,0.0,65,0.3384615384615385,0.875
080623_6D2S_qubit5,4 µs,0.5,0.39164696611505123,0.0,286,0.33916083916083917,0.6
080623_6D2S_qubit5,5 µs,0.5,0.4515366430260047,0.0,287,0.10452961672473868,0.0
080623_6D2S_qubit5,6 µs,0.5,0.31520882584712373,0.0,214,0.014018691588785047,0.0
080623_6D2S_qubit5,7 µs,0.5,0.2293144208037825,0.0,162,0.012345679012345678,0.0
080623_6D2S_qubit5,8 µs,0.5,0.17178881008668243,0.0,121,0.01652892561983471,0.0
080623_6D2S_qubit5,9 µs,0.5,0.14893617021276595,0.0,104,0.0,0.0
080623_6D2S_qubit5,10 µs,0.5,0.12923561859732072,0.0,0,,
080623_6D2S_qubit5,1 µs,1.0,0.10007880220646179,0.0,1,0.0,0.8999211977935382
080623_6D2S_qubit5,2 µs,1.0,0.12450748620961387,0.0,1,0.0,0.8754925137903862
080623_6D2S_qubit5,3 µs,1.0,0.4144996059889677,0.0,65,0.13846153846153847,0.6
080623_6D2S_qubit5,4 µs,1.0,0.8211189913317573,0.0,286,0.02097902097902098,0.0
080623_6D2S_qubit5,5 µs,1.0,0.6083530338849488,0.0,287,0.003484320557491289,0.0
080623_6D2S_qubit5,6 µs,1.0,0.4247438928289992,0.0,214,0.004672897196261682,0.0
080623_6D2S_qubit5,7 µs,1.0,0.3033884948778566,0.0,162,0.0,0.0
080623_6D2S_qubit5,8 µs,1.0,0.24349881796690306,0.0,121,0.0,0.0
080623_6D2S_qubit5,9 µs,1.0,0.19779353821907014,0.0,104,0.0,0.0
080623_6D2S_qubit5,10 µs,1.0,0.169424743892829,0.0,0,,
080623_6D2S_qubit5,1 µs,2.0,0.23877068557919623,0.0,1,0.0,0.7612293144208038
080623_6D2S_qubit5,2 µs,2.0,0.4310480693459417,0.0,1,0.0,0.5689519306540584
080623_6D2S_qubit5,3 µs,2.0,0.9802994483845547,0.0,65,0.0,0.0
080623_6D2S_qubit5,4 µs,2.0,0.9219858156028369,0.0,286,0.0,0.0
080623_6D2S_qubit5,5 µs,2.0,0.7557131599684791,0.0,287,0.0,0.0
080623_6D2S_qubit5,6 µs,2.0,0.5831363278171788,0.0,214,0.0,0.0
080623_6D2S_qubit5,7 µs,2.0,0.4507486209613869,0.0,162,0.0,0.0
080623_6D2S_qubit5,8 µs,2.0,0.35855003940110325,0.0,121,0.0,0.0
080623_6D2S_qubit5,9 µs,2.0,0.28841607565011823,0.0,104,0.0,0.0
080623_6D2S_qubit5,10 µs,2.0,0.25216706067769895,0.0,0,,
080623_6D2S_qubit6,1 µs,0.5,0.04097714736012608,0.0,1,0.0,0.959022852639874
080623_6D2S_qubit6,2 µs,0.5,0.05358550039401103,0.0,1,0.0,0.946414499605989
080623_6D2S_qubit6,3 µs,0.5,0.1347517730496454,0.0,48,0.22916666666666666,0.8033088235294117
080623_6D2S_qubit6,4 µs,0.5,0.36958234830575254,0.0,210,0.2714285714285714,0.6363636363636364
080623_6D2S_qubit6,5 µs,0.5,0.4838455476753349,0.0,292,0.1404109589041096,0.0
080623_6D2S_qubit6,6 µs,0.5,0.40425531914893614,0.0,249,0.020080321285140562,0.0
080623_6D2S_qubit6,7 µs,0.5,0.2978723404255319,0.0,183,0.0273224043715847,0.0
080623_6D2S_qubit6,8 µs,0.5,0.2293144208037825,0.0,147,0.027210884353741496,0.0
080623_6D2S_qubit6,9 µs,0.5,0.18597320724980299,0.0,118,0.01694915254237288,0.0
080623_6D2S_qubit6,10 µs,0.5,0.16706067769897556,0.0,0,,
080623_6D2S_qubit6,1 µs,1.0,0.12135539795114263,0.0,1,0.0,0.8786446020488574
080623_6D2S_qubit6,2 µs,1.0,0.16233254531126873,0.0,1,0.0,0.8376674546887313
